"passer_player_name","szn","posteam","epa_db","cpoe"
"B.Roethlisberger",2010,"PIT",0.208670542441474,"0.01843616"
"J.Kitna",2010,"DAL",0.0442836755947731,"0.01259669"
"T.Smith",2010,"SF",-0.121257188255411,"-0.1024526"
"R.Grossman",2010,"WAS",-0.0986238186307156,"-0.07191112"
"C.Whitehurst",2010,"SEA",-0.29697433889703,NA
"J.Skelton",2010,"ARI",-0.363164519667129,"-0.1427291"
"A.Rodgers",2011,"GB",0.390325274853994,"0.06650296"
"D.Brees",2011,"NO",0.339764972823039,"0.08675117"
"J.Flacco",2011,"BAL",0.0549358054749906,"-0.04017331"
"B.Roethlisberger",2011,"PIT",0.109820906029692,"0.01351043"
"M.Vick",2011,"PHI",0.0505039995432113,"-0.01107334"
"S.Bradford",2011,"STL",-0.20252732533042,"-0.07577645"
